noise_level,accuracy,weighted_f1
0.0,0.7442613301942319,0.7401224306621749
0.02,0.6736315479693937,0.6692076827852305
0.05,0.6447910535609181,0.6391578605307794
0.1,0.5959387875220719,0.5879049446649192
0.15,0.5423778693349028,0.5332922013083174
0.2,0.5005885815185404,0.48719365120853664
0.3,0.4255444379046498,0.403531334769161
