fraction,n_samples,accuracy,weighted_f1
0.01,136,0.5512065921130076,0.5405025152792098
0.05,679,0.6450853443201884,0.6382318237415291
0.1,1359,0.6851088875809299,0.6785465103445386
0.2,2718,0.7001177163037081,0.6948178206264274
0.4,5435,0.7174808711006474,0.7131778980258588
0.6,8153,0.7366097704532077,0.7327005892933218
0.8,10870,0.7363154796939376,0.732523740662466
1.0,13588,0.7442613301942319,0.7401224306621749
